text	label	id
Dịch vụ này thật là đáng thất vọng! Đã bỏ ra số tiền không nhỏ mà lại nhận lại một trải nghiệm tệ hại. Chờ đợi lâu và nhân viên không chú ý đến khách hàng đặt lịch trước. Sự thụ động và vô cùng không chuyên nghiệp	0	1
Lần đầu đi cũng thấy niềm nở lắm, nhưng mà nhân viên đồ không có chào hỏi gì hết trơn. Mình quá thất vọng 	0	2
"Mình được người quen giới thiệu đến khám tại phòng khám. Mình muốn làm 2 liệu trình: phá nốt ruồi và trị sẹo. Nhân viên thu 300.000đ và bảo là chi phí khám ban đầu. Các bạn hướng dẫn mình chụp hình để soi da:
- chụp bằng máy ảnh chắc để theo dõi trước và sau khi làm với họ
- chụp bằng máy gì đấy hết gương mặt mình, bảo là soi da
Lưu ý là chụp với mỗi cái mặt mình thôi nhé, còn vết sẹo ở cổ thì ko thấy nhắc đến. Sau đó lên lầu chờ bác sĩ xuống thăm khám. Bác sĩ bảo 1 câu cho cái nốt ruồi của mình thôi:
- 150k phí phá nốt ruồi
Sau đó thì tập trung vô cái sẹo, chi phí tiêm thuốc làm mềm sẹo là ~1.5tr, chi phí Co2 để đều da là ~4tr. Cần làm 3 lần để đạt đc kết quả mong muốn. Đi ra gặp bạn nhân viên tư vấn, họ cũng nói giống như bác sĩ. Không hiểu tại sao lại phải nghe 2-3 lần cho cùng 1 nội dung.
Chụp soi da? tư vấn chăm sóc chỗ nào để lấy phí 300k?
Em khuyên mọi người về bệnh viện da liễu khám, chi phí tiêm chỉ có 250k thôi ạ."	1	3
Ban đầu cũng uy tín nhưng mà giá đắt quá. Cũng hay làm trò để câu thêm tiền lắm 	0	4
Bác sĩ tư vấn như muốn lấy thêm tiền của khách vậy. Chán 	0	5
Nhân viên gì mà cứ như bị ma nhập, lúc nhớ lúc quên làm mình muốn nản luôn	0	6
Làm liệu trình xong không thấy đỡ mà thấy mặt mình xấu hơn 	1	7
Lần đầu dến gặp bác sĩ mà thấy da bác sĩ còn xấu hơn da mình nữa. Khó mà tin tưởng 	0	8
Mình đặt lịch từ 1h30 mà đến 5h chiều mới được vô. Chả hiểu nhân viên quên mình hay gì nữa 	1	9
Mình được bác sĩ tư vấn cho đủ mọi loại liệu trình. Mình cũng cố gắng theo hết nhưng mà cũng không thể chữa hết được các vấn đề cho mình. Mình để ý bác sĩ ở đây có dấu hiệu cố tình thêm những liệu trình bổ sung để đánh lừa những người thiếu hiểu biết như mình thời trước. Mình khuyên các bạn mà chưa đủ kiến thức thì nên tham khảo nơi khác, ở đây dịch vụ ổn nhưng mà kinh doanh thất đức quá 	0	10
Dịch vụ thì tốt đấy, nhưng mà liệu trình gì mà không rõ ràng. Thấy lạm dụng công nghệ mà không thấy da mình đẹp lên tí nào 	0	11
Điều trị không tốt như lời đồn. Bác sĩ yêu đề xuất mình theo một liệu trình 5 tháng. Nhưng mình đã theo và cố gắng rất nhiều kết quả còn tệ hơn lúc trước của mình nữa. Tư vấn viên thì đạo tạo như quần què, Không hiểu sao chỗ này nó vẫn sống được qua từng đó thời gian 	0	12
Cảm thấy ngu ngốc mới đến đây làm. Thực sự là phí thời gian 	1	13
Đến trị sẹo xong cái mình nhận được là cục sẹo lồi hơn, là trị sẹo dữ chưa :D	1	14
Mình biết đến do các youtuber giới thiệu. Mình nghe review thì rất tốt nhưng mà có vẻ thực sự nó không được đến thế. Chắc cũng đầu tư seeding dữ he	1	15
Tư vấn gì mà dùng thuật ngữ chuyên ngành nhiều quá, thực sự tào lao hết chỗ nói 	1	16
Tư vấn như kiểu múa múa nghe cho ngầu rồi đề xuất một nùi liệu trình mà mình chả biết có nên dùng hay không. Nghe mùi lùa gà quá 	1	17
Lễ tân gì kì thiệc, lần đầu mình đến mà không cảm thấy được sự hiếu khách, làm việc mà cứ nhăn cái mặt vào. Các em ơi mình là con người, là nhân viên thôi chứ không phải mẹ thiên hạ đâu	0	18
Tư vấn thì rõ nhiều mà cuối cùng mình chả hiểu gì, đúng thật là có cái mác bác sĩ chỉ để lừa tiền người dân. T thà đi bệnh viện da liễu còn hơn ở đây 	0	19
Cảm giác như các bạn diều dưỡng tay nghề thấp quá. Chăm sóc da mà cứ như đi hành xác nhau vậy. Tiêm meso xong mình cảm giác như nó cũng chả khác gì. Tiền mất mà chả có ích lợi gì, phí thời gian vl 	0	20
