id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid02X1hVkUGgasHeGrB5pt7BueL1oYzn8d3FLXnjnnCa3pYJtELDCHjHiWQhv7Tao9wMl,Pensilia,0,0,2,0,0,0,0,0,2,2,Bác sĩ ơi ban đầu sử dụng kem trộn da trắng mịn mà sao về sau lại nổi mụn khắp mặt vậy? | Bác sĩ CKI Hoàng Thị Hồng Trâm  #pensilia #pensiliahcm #kem_trộn #corticoid,2024-03-23T12:40:22.133394,['blob:https://www.facebook.com/3f1a1b16-4630-431a-9da8-1228acd6ea3d'],https://scontent.fsgn2-5.fna.fbcdn.net/v/t15.5256-10/424930287_333495725901779_1490555874407229726_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=thcMUZaHCeIAX8LtVR-&_nc_ht=scontent.fsgn2-5.fna&oh=00_AfCAdiuyRAP9w3DtkMaEoKr67A_gKSdXpsJhjVdQ4h8iLw&oe=6604684E https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/pensilia/posts/pfbid02X1hVkUGgasHeGrB5pt7BueL1oYzn8d3FLXnjnnCa3pYJtELDCHjHiWQhv7Tao9wMl?__cft__[0]=AZVo6ENI9rJ1e4xfG1yIfWiZp3y2i62e_l2cEZY0LRpx-ChhWHz_emYLBLr8pP3VC2-O64r2hMboWQ9n5W5ChM0zFJnL-dbirNdIJZ3pxiMPVr_O3IRlPvlRgMJ1aYPJ70Fp5R4EMnrxal7E559b66DrfGDGiGZf9nOUIXKpf6CH4Y0T-sjTXjuBGhNEPPWKseC6gW8AsqwTdHhJtezi1WE9&__tn__=%2CO%2CP-R
724119526572138,Pensilia,1,78,22,0,0,0,0,0,100,28,[Bạch biến - Rụng tóc] Hỏi và đáp cùng Bs Nguyễn Phương Thảo | Phòng khám chuyên khoa Da Liễu và Thẩm Mỹ Pensilia | Hotline 0924777885.,2024-03-22T21:40:29.083037,['blob:https://www.facebook.com/1972b2c8-d42e-406b-9f54-4dee51b4f355'],https://scontent.fsgn2-6.fna.fbcdn.net/v/t15.5256-10/430933259_1422074411738348_7958104217037839500_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=htdso-60ih0AX_zMne5&_nc_ht=scontent.fsgn2-6.fna&oh=00_AfBQyfSdm12a0RE2am-8j6fhtv0ygrfZKwKosgA3mjEAdA&oe=6603F089 https://static.xx.fbcdn.net/rsrc.php/v3/yQ/r/Y8Qv0BZt2gm.png,https://www.facebook.com/pensilia/videos/724119526572138/?__cft__[0]=AZVmf1p5OJEJ8oHqp3k0IM-Qzjz5SF3NrRw4KPFQCqds82BojFStQApGhBGrBCV7MUqMN8eMz6AugrwlnbQIFgH-s7JswVFOq3Xmv8KyTMx0wBTA_qi_DE7ZihwBMw99Op0nMYRj3w0WVAHprXknw9gC0QS_N1VTNsCjOpOcetVORWHihK65bKa6ILfVB9jRtG9anaMLGg1p-0q6aYV0fAidHtjSrkHe6T3AUU0yz_FflQ&__tn__=%2CO%2CP-R
pfbid02NRNaaTmxbbTQLhtswHAG6Dffp3rEJxqFQVJTuqmZ1tDY4rAuRmgAkxeSMStHtZfdl,Pensilia,1,14,3,0,0,0,0,0,17,3,"DA KHÔ DO CƠ ĐỊA CÓ KHẮC PHỤC ĐƯỢC KHÔNG? Da khô do cơ địa là tình trạng da thiếu hụt độ ẩm tự nhiên, khiến da trở nên sần sùi, bong tróc và ngứa ngáy. Mặc dù da khô do cơ địa khó có thể khắc phục hoàn toàn. Nhưng bạn có thể áp dụng một số biện pháp để cải thiện tình trạng da và giảm bớt các triệu chứng khó chịu.Chăm sóc da- Sử dụng sữa tắm và sữa rửa mặt dịu nhẹ: Tránh các sản phẩm có chứa chất tẩy rửa mạnh, hương liệu và parabens vì chúng có thể làm da khô hơn.- Dưỡng ẩm thường xuyên: Thoa kem dưỡng ẩm cho da mặt và cơ thể sau khi tắm hoặc rửa mặt. Chọn kem dưỡng ẩm có chứa các thành phần như glycerin, hyaluronic acid, ceramides và shea butter.- Đắp mặt nạ dưỡng ẩm: Đắp mặt nạ dưỡng ẩm 1-2 lần mỗi tuần giúp cung cấp thêm độ ẩm cho da.Chế độ ăn uống:- Ăn nhiều thực phẩm giàu vitamin A, C và E: Vitamin A, C và E có tác dụng chống oxy hóa, giúp bảo vệ da khỏi tác hại của tia UV và các gốc tự do. - Ăn nhiều thực phẩm giàu omega-3: Omega-3 có tác dụng chống viêm, giúp giảm bớt tình trạng da khô và ngứa. - Uống nhiều nước: Cơ thể con người hơn 70% là nước vì thế uống nước đầy đủ sẽ giúp cơ thể cân bằng và mềm mịn hơn. - Hạn chế ăn thực phẩm cay nóng và nhiều dầu mỡ: Những thực phẩm này có thể làm da tiết nhiều dầu hơn, khiến da trở nên bóng nhờn và dễ nổi mụn.Phương pháp làm đẹp- Cấy tinh chất cấp ẩm: Các dòng tinh chất có chứa nhiều thành phần HA sẽ giúp làn da duy trì được độ ẩm. - Pen Meso: Liệu trình cấp ẩm, căng bóng của nhà Pensilia sẽ giúp bạn cân bằng độ ẩm và duy trì được độ đàn hồi. _________________________HỆ THỐNG PHÒNG KHÁM DA LIỄU THẨM MỸ 𝗣𝗘𝗡𝗦𝗜𝗟𝗜𝗔 Chi nhánh Tp. Hồ Chí Minh: 413 - 415 Nguyễn Đình Chiểu, P.5, Quận 3, Tp.HCM. Hotline: 0924.777.885 Chi nhánh Đồng Nai: Tầng lửng TTC Plaza 53-55 Võ Thị Sáu, Tp.Biên Hòa, Đồng Nai. Hotline: 032.6666.247 Chi nhánh Vũng Tàu: 187 Lê Lợi, P.Thắng Nhì, Tp.Vũng Tàu, Bà Rịa Vũng Tàu. Hotline: 034.5555.247____________________________Hotline CSKH:  Youtube: www.youtube.com/@PensiliaClinic Fanpage: Pensilia Instagram: www.instagram.com/pensilia_clinic Website: pensilia.com #pensilia #pensiliahcm #cấy_tinh_chất #skincare #chăm_sóc_da",2024-03-22T18:40:29.616271,[],https://scontent.fsgn2-5.fna.fbcdn.net/v/t39.30808-6/434090912_821315130037062_6759536407614323386_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=IVG8QmsKjJEAX9YRWbL&_nc_ht=scontent.fsgn2-5.fna&oh=00_AfDTgNqizV1-R0Kgny2KqZUdNuFnXjlBVc_R6AoUq5Ga8w&oe=6604775E https://scontent.fsgn2-7.fna.fbcdn.net/v/t39.1997-6/47472862_1846683478763869_5271603212267290624_n.png?stp=dst-png_p240x240&_nc_cat=1&ccb=1-7&_nc_sid=ba09c1&_nc_ohc=DY6AslDNRrUAX9M4Pzv&_nc_ht=scontent.fsgn2-7.fna&oh=00_AfBx1MBfBo4Ae-oHyLsN6B8rVYyVa2qgcrCZ0uKfwVONMw&oe=660482BE https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/pensilia/posts/pfbid02NRNaaTmxbbTQLhtswHAG6Dffp3rEJxqFQVJTuqmZ1tDY4rAuRmgAkxeSMStHtZfdl?__cft__[0]=AZUX0j06oz49fwSLtx72DxTbacOWPX41tQZ6icWA2rloGGQFt4hS2uf7qG9Lry0Qn3qOmffkY-WuGb6eNUQ2qAQ6e2bTzzGTrUbCvyDfWhew8uB5HBSk1adhLyZujMsRSTXDgj50Ek_gaWBLnJ7N9LJVqc2A0kjHkc3JtTULePjDxFh068utd8tKD0ZE5jLd4R-6GHQPdhdzU_Ty3p1rexZ7&__tn__=%2CO%2CP-R
pfbid02G6eQZ91ry9puK9SJuNAKDFeR85Rw87vBYmADM8Vo6ek3qNnU7KX4KXWC1f7kS8CJl,Pensilia,1,10,3,0,0,0,0,0,13,2,"Công nghệ laser 3 tia ""giải quyết nhanh gọn"" vùng râu cứng đầu, mang đến cho bạn diện mạo trẻ trung, lịch lãm! #pensilia #pensiliahcm #triệt_râu #laser_3_tia",2024-03-22T18:40:35.070781,['blob:https://www.facebook.com/f7e97d4a-6f3c-41d8-a020-95b5db0c974c'],https://scontent.fsgn2-5.fna.fbcdn.net/v/t15.5256-10/432227931_294920366779787_3481798395632336027_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ZniwnGP686YAX-McfCj&_nc_ht=scontent.fsgn2-5.fna&oh=00_AfAAbrrcV7KNp1XQ7-YsC0CZmBKuROPMcYcORfAhgbgwVg&oe=6602FFB6 https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/pensilia/posts/pfbid02G6eQZ91ry9puK9SJuNAKDFeR85Rw87vBYmADM8Vo6ek3qNnU7KX4KXWC1f7kS8CJl?__cft__[0]=AZV_X1AfbK--uZdW-SHpkV95DnUQtFwHoy4ZJW5TrX1jinRuzDA3j_LiAI2i7u-lQQR7GBLMkIGMr2itVPcQpue_luX5e17a5xxzap0dsF1abHSX8XsFNfQsamRisYDz4GtUwIboeKSKTToREFDde_OZZkOzIxvYTWnLMjWS4guCOghVfCiw7RPP07UGqyhe1bi-Vu64uOphFamMNyLb7Uu1&__tn__=%2CO%2CP-R
pfbid0RXgP4Hk2mLf2LByfM3vmJ3Ew3yfyv1cmeyp6VDicNCaoNgJ8bGwsgJPwcK5C6F8ql,Pensilia,0,13,3,0,0,0,0,0,16,0,Chuyện vợ chuyện chồng #cafesangcungBsThao,2024-03-22T18:40:35.245605,[],https://scontent.fsgn2-4.fna.fbcdn.net/v/t39.30808-6/432749447_942482940597474_6882809072424109921_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=DursmBuG2-4AX-j8pdj&_nc_ht=scontent.fsgn2-4.fna&oh=00_AfDfO2sIIkmBKut9xkB9cjfejON1RTQ8L2FOmndjqQFCwA&oe=66033240,https://www.facebook.com/pensilia/posts/pfbid0RXgP4Hk2mLf2LByfM3vmJ3Ew3yfyv1cmeyp6VDicNCaoNgJ8bGwsgJPwcK5C6F8ql?__cft__[0]=AZUkSq-p1qrIT6OU9DoCzfi-ifSpAj45c6TjFaR92PpYJGSm6I4aFmWuVrVdS4DvMrpldSUNYoVAjxFMwLypC-vwSQsMH0CYzYpaOyfr21xQ3G42LppGEP4FXhmQe0nTu6vGHCSbU8a4VESgmcM-yaDDBXXkHhA7FkyJwWh3WAJGhHKqtHe4UzPFIl8NI7j78ao0XQ9rEx4OdlP_L_jQW46GWsh_tQ_03wld8z604koHpUBHUfHcgrQpHs4-jqhgBb0&__tn__=%2CO%2CP-R
pfbid0Ux7bcY6XcSyXRkvtvZRPiErQMyjxZuk4E72zrDdtp9dY45WUg1YBJn2RFGEKdeB4l,Pensilia,0,41,5,0,0,0,0,0,46,0,Hẹn gặp lại mọi người vào ngày mai 22.3 lúc 21h cùng chủ đề Cập nhật về công nghệ mới trong điều trị bạch biến và rụng tóc nhé! #pensilia #pensilihcm #livestream #bạch_biến #rụng_tóc,2024-03-21T18:40:35.395824,['blob:https://www.facebook.com/e14dfc40-a861-4ecd-acf3-ecfd5dcbbd5d'],https://scontent.fsgn2-11.fna.fbcdn.net/v/t15.5256-10/409115590_401662472469212_3468482133114475748_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ChWmRflhmBQAX9_VICx&_nc_ht=scontent.fsgn2-11.fna&oh=00_AfCF8Pey-XsF4nMVREkLSSmkGQ2B6AQw1EO3odwUJHTmYQ&oe=6603B69F,https://www.facebook.com/pensilia/posts/pfbid0Ux7bcY6XcSyXRkvtvZRPiErQMyjxZuk4E72zrDdtp9dY45WUg1YBJn2RFGEKdeB4l?__cft__[0]=AZUprzNLqGc2DvDIg9BXY5RgJ7r2Stvlq9ObjVB6JmfpwlJw5wzGe88Bw-amY9ftqd-1vodZQGhJWb2eGj9CSDnzaSyadFXzGJ9y1dT3txuBc0GASi6Y0dr1BWhWWNq_cpdevGpYLloFy9ZHIoQAoUGnDPC-pGiXOKO0OC4poD3jaE1aN93lQdEjRdl0XMDx85sDMqSKIgBfPOqtSk8SiPHeXyNIv9Z61ton205BXWj_Ww&__tn__=%2CO%2CP-R
pfbid0MpD4DfHnw3eiHxkrq8d36zgo5AYaFpKjLQR6JBfD9QwPuRrpAe5p9RJm1xJvS1bsl,Pensilia,0,8,9,0,0,0,0,0,17,1,"Cấy tinh chất tạo nét cân chỉnh toàn diện gương mặt, tân trang diện mạo rạng rỡ! #pensilia #pensiliahcm #cấy_tinh_chất #trẻ_hóa #tạo_nét",2024-03-21T18:40:35.561724,['blob:https://www.facebook.com/e3b636ca-d86b-4165-8d74-2d0303fb8d85'],https://scontent.fsgn2-7.fna.fbcdn.net/v/t15.5256-10/429988805_794242925909582_6588740525787539175_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=M0cFjzJUInsAX_OsVv5&_nc_ht=scontent.fsgn2-7.fna&oh=00_AfDFxQtSbJG67cDoqgZ4IwVWh_Gly4ZythJjVlOJGZGuwg&oe=6603B38B,https://www.facebook.com/pensilia/posts/pfbid0MpD4DfHnw3eiHxkrq8d36zgo5AYaFpKjLQR6JBfD9QwPuRrpAe5p9RJm1xJvS1bsl?__cft__[0]=AZXCKyfAxFSyxj4_LtuEDrckrA6dXfuVxY9qejXN-yAzVgcsDZDa2VEKcTWcd40aZ4nFOqa5JvcPAr9hmIczc9cp3esi-mr3qwd-nHHF7cgB9G53PNWzdALTVPJ0joP6-Tqa2u0GkKX140Nd3h1vOaCWPdn6A0UEVIzq9LaYltsQMjQ6eaxlfIjtFcHxw9coBXARz32IhHASoPG0YoKgAEj5M5u2418yRFd1pIu8zVHbfg&__tn__=%2CO%2CP-R
pfbid02YTa9k7ubaGhRBDkz1KARcLL6F5fhkw9xcqRdVpA9eiaRudskfz1ZTMGDzgftfN2hl,Pensilia,0,7,1,0,0,0,0,0,8,1," Giải pháp KHÔNG cho cánh mày râu:1) Cạo râu mỗi sáng;2) Trầy xước da sau cạo;3) Khô da và kích ứng da;4) Xoá râu không đau;Hãy ngưng những việc làm mất thời gian này, và dành thời gian cho việc tập thể dục và thư giãn mỗi sáng. #khongcaorau #trietrau #danhchonamgioi",2024-03-21T18:40:42.064860,[],https://scontent.fsgn2-10.fna.fbcdn.net/v/t39.30808-6/434071325_941978897314545_6153153500315170537_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=DwxokMhsgKsAX8aB4Wb&_nc_ht=scontent.fsgn2-10.fna&oh=00_AfA-0AnQOTJyAAF30YneG7_x8v6vfW20WQPPvXFIAreaPg&oe=6603C0E1,https://www.facebook.com/pensilia/posts/pfbid02YTa9k7ubaGhRBDkz1KARcLL6F5fhkw9xcqRdVpA9eiaRudskfz1ZTMGDzgftfN2hl?__cft__[0]=AZVdRKbcgQEZdOIWuvj5z8kLvBp0y4hmcQJ6GrhkllrDhhhrJR0NA3NcndTCfivrPENOc1TpXR0PJDxa4a6dMhVyksf31bEZpDQDR--yGfdlLEj5CYO_4rQnDDPulHgrKZeivGnY-ZIaeg4jeMEMqk2VvUpaNuGXJlR58W_Ko8JPgE8Te7mKxpvk4CWShNvKpLooclFKeGQ2Tlo019_F8AI0jD6ELRWAjGQ_Z3TiK0iEitRMTAzK-qRRL9axQNzYlJzSfk_PxNAL54msJV5mmTHH&__tn__=%2CO%2CP-R
pfbid0XpsuA1aPEYdBcpVvGRSv4jsb5SZyWGZmo65vHcyG7xq911vjtSYCYDEG3sDEVznPl,Pensilia,0,14,2,0,0,0,0,0,16,1,"CẤY TINH CHẤT TẠO NÉT CÓ NHỮNG CÔNG ĐOẠN NÀO? Tinh chất tạo nét là một trong những giải pháp làm đẹp không xấm lấn được rất nhiều chị em yêu thích. Phù hợp với xu hướng hiện nay là làm đẹp tự nhiên. Cân chỉnh gương mặt bằng tinh chất giúp cân đối các đường nét, làm đầy các vị trí bị lõm, hóp. Quá trình thực hiện một ca cấy tinh chất thực tế sẽ có các bước như sau: Thăm khám và tư vấn Xác định và định hình vùng cần cân chỉnhỦ tê để giảm cảm giác châm chích Vệ sinh và sát trùng vùng cấy Thực hiện cấy tinh chất Khử khuẩn và nắn vùng cấy Quá trình xác định và định hình vùng cân chỉnh tuy đơn giản nhưng lại rất quan trọng. Đây là khâu để bạn xác định nên cấy ở vị trí nào và cần lượng tinh chất là bao nhiêu. Nhất là ở vùng mí mắt dưới, nhiều trường hợp bị lõm sâu, kết hợp cả thâm đậm màu lan rộng. Ở những ca thế này bác sĩ cần phải xác định được diện tích cần cấy là bao nhiêu và khoanh vùng chính xác bằng bút vẽ chuyên dụng. Khi thực hiện các bác sĩ sẽ theo các đường vẽ trước đó để cấy đúng điểm đúng vùng. Bạn nên chú ý rằng quá trình cấy trên gương mặt cần có kĩ thuật chuyên môn để hạn chế các biến chứng rủi ro có thể xảy ra. Vì vậy bạn nên chọn lựa cơ sở làm đẹp uy tín, có các bác sĩ tay nghề cao thực hiện. _________________________HỆ THỐNG PHÒNG KHÁM DA LIỄU THẨM MỸ 𝗣𝗘𝗡𝗦𝗜𝗟𝗜𝗔 Chi nhánh Tp. Hồ Chí Minh: 413 - 415 Nguyễn Đình Chiểu, P.5, Quận 3, Tp.HCM. Hotline: 0924.777.885 Chi nhánh Đồng Nai: Tầng lửng TTC Plaza 53-55 Võ Thị Sáu, Tp.Biên Hòa, Đồng Nai. Hotline: 032.6666.247 Chi nhánh Vũng Tàu: 187 Lê Lợi, P.Thắng Nhì, Tp.Vũng Tàu, Bà Rịa Vũng Tàu. Hotline: 034.5555.247____________________________Hotline CSKH:  Youtube: www.youtube.com/@PensiliaClinic Fanpage: Pensilia Instagram: www.instagram.com/pensilia_clinic Website: pensilia.com #pensilia #pensiliahcm #cấy_tinh_chất #tạo_hình_gương_mặt #làm_đầy_vùng_mắt",2024-03-21T18:40:42.339399,[],https://scontent.fsgn2-9.fna.fbcdn.net/v/t39.30808-6/432774311_821155960052979_2032191096159839838_n.jpg?stp=dst-jpg_p296x100&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ByQv6h-Ud1IAX9fZZyv&_nc_ht=scontent.fsgn2-9.fna&oh=00_AfAmmufWURa8vktNXiAuZAFs3lPpotmwnX9FsS7OdvkfbA&oe=66047ABC https://scontent.fsgn2-8.fna.fbcdn.net/v/t39.30808-6/432650755_821155983386310_9012001320330245276_n.jpg?stp=dst-jpg_p600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fW7Uj8Xfq_AAX_00bNN&_nc_ht=scontent.fsgn2-8.fna&oh=00_AfASaEJRUuX9fIr3pXp5sWNpZ6oF_2X2bzYbxs6eRiy_eQ&oe=6602E46B https://scontent.fsgn2-6.fna.fbcdn.net/v/t39.30808-6/434169568_821155986719643_2550841397446256829_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6EunNPNCS-UAX8ItruF&_nc_ht=scontent.fsgn2-6.fna&oh=00_AfBiaRkIBf88LpYeBJPoJ8I0bbYCAdY9yKUe-odtuBasdA&oe=660345F1,https://www.facebook.com/pensilia/posts/pfbid0XpsuA1aPEYdBcpVvGRSv4jsb5SZyWGZmo65vHcyG7xq911vjtSYCYDEG3sDEVznPl?__cft__[0]=AZUYmL7xOvZIpyB96p1Cr1cSF0Rq-WqcRv--x8xev3gkZpX9Jzz85tav0nDw9EzFI4QqaIz990mD5FqKJhRj2O9uskXaXyn570jE0fxUG471yoA6kuj1BWGLxz5bNO4tRvMv-hTB-f99Az6-jNQF3yzrjd3_6hhuNeKzerkCCT_CzoZvJcSebZntCBIPN_LF8hzZwBFQA6vtgTuX9kTXIb4y&__tn__=%2CO%2CP-R
741423737967212,Pensilia,0,12,3,0,0,0,0,0,15,8,"Hỏi đáp cùng Bs Thảo | Mụ.n trứng cá, trứng cá đỏ.",2024-03-21T18:40:42.527251,['blob:https://www.facebook.com/772f3f7b-faef-45ac-87fc-47bbf099fa6c'],https://scontent.fsgn2-9.fna.fbcdn.net/v/t15.5256-10/409015801_1879789282438809_8800929818751057907_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=MDmxp3YHv8IAX9lTBKB&_nc_ht=scontent.fsgn2-9.fna&oh=00_AfAhqXHZ_6KbnMBB8Oq8uhiZ9i-au2ZrFXM3AJaP688xrA&oe=6603CEF8,https://www.facebook.com/pensilia/videos/741423737967212/?__cft__[0]=AZUgC9fsEGZEHcpJqBoghgOo8wGKV8hnAnX-5xzSrzWQ9-YcCjn7WyEIP3KD1cBhx8YbLw8UVpulWvNuV6zDpoAnq04MZT2xIMeK-jhxsnxzTo1mOdJO4IXYHK21d1N-30FG-XLagxt4j-f4I8N5Yz5l9GYOwBcZdXoerEWEDTlJL9rNsJDZBLfXx4M_LyuN93Dlh8smAGTKkGTfeAOzYt2J0buFVGfGOx0WIdiVkjQZxQ&__tn__=%2CO%2CP-R
