text	label
Mất thời gian và tiền bạc cho một dịch vụ không hiệu quả, cảm thấy thất vọng!	0
dạ em chào bác sĩ	1
⭐⭐⭐⭐⭐	1
E có  1miếng nám trên trán phải làm sao bs	1
rất mong nhận được lộc từ bs ạl	1
Dù đã kiên nhẫn đợi đến lượt nhưng kết quả cuối cùng không thấy sự thay đổi gì!	0
❤️	1
"Công nghệ nâng cơ trẻ hóa được FDA chứng nhận an toàn : 
https://www.accessdata.fda.gov/cdrh_docs/pdf13/k132431.pdf"	1
Trải nghiệm tệ, không hiệu quả	0
em thấy hơi thất vọng bỏ ra liệu trình 6 tháng trị mụn hạt trắng ở môi bằng laser mà ko hề có kết quả hay giảm một tí gì cả	0
#botthiennhienthuanthai	1
đẹp quá e, cho c xin địa chỉ nha	1
Mẹ con em đang chờ quà về từ hôm ấy	0
Đăng ký thăm khám chụp phim cùng Elite Dental với nhiều ưu đãi hấp dẫn tạo link:https://forms.gle/AbKSAnpsL5MYEhHa8	1
"Đi nhanh rồi về em ơi
Bao người đang đợi"	1
Kèo thơm quá chị ưi	1
ội xinh đẹp quá đi anh mình ơi	1
Mình quá thất vọng với tay nghề của mấy bạn xăm lông mày ở chỗ này 😡nói một đàng làm một ngã tư vấn thì rất hay nhưng khi làm thì không ra ôn gì hết …😡 chỉ được có cái ngọt với lại dẻo miệng thôi😡 làm một lần không ai dám trở lại 	1
Bs đi nước ngoài suốt thichd thặc	1
100 điểm không có nhưng sẳn tiện cho em hỏi da nào tiêm cũng đc hay sao chị uiiii :))))))	1
không thấy cảnh tổng tài xoã vậy anh?	1
"Nơi tệ nhất mà tôi từng đến
Khi tôi yêu cầu xuất hoá đơn VAT thì tiệm từ chối và không có lời giải thích !"	1
Lót dép hóng	1
Tuyệt vời quá	1
No 1	1
Làm chân mày bị lệch. Nhân viên thì xấc xược. Không bao h tới lần 2	1
Nhân viên ăn nói chuyện không biết trước sau và thái độ giang hồ. Làm thì xấu, bể sợi , nói chung nên né	0
Vui quá sếp ơi. Nhớ Pensilia quá ạ	1
🥰🥰🥰	1
Let's go	1
Pensilia is so Pro❤️❤️❤️	1
Chúc mừng bạn có tên facebook Le Oanh https://www.facebook.com/lekieuoanh.qttm là người may mắn nhận quà là 1 suất tiêm săn chắc da trị giá 15 triệu trong livestream này nhé. Inbox page để xếp lịch hẹn sớm ❤	1
nhỏ Võ Mỹ Hiệp quản lý lắc nhảy sung dữ luôn ta ưi😂😂😂	1
Giá tiêm filler cằm giá khoảng bao nhiêu ạ BS	1
Em bị u mạch máu gan rối loạn lo âu trị nám có dễ tái phát ko Bác.	0
Căng chỉ mức phí bn Bác	1
Khi đến phòng khám thì bs sẽ trực tiếp khám và điều trị ạ. Hay nhiều bs khác nhau ạ.	1
Dầm dầm sợ đổ chén nước chấm quá kaka	1
Chán với cách làm việc của nhân viên	1
😍😍🥰🥰🥰	1
Quá mọng, quá tươi	1
Nặn mụn quá tệ chân mụn ko lấy hết , máu bầm cũng không nặn hết luôn, máu ở mụn viêm lấy gạc chấm vô rồi dùng lại gạc đó chấm vô các cùng khác trên mặt , tay điều dưỡng thì run một phòng khán lơn như vậy mà không thể đưa ra giải quyết cho khách hàng hay sao ???	0
E SHOW🦋👉 rebrand.ly/bzavsas	1
Xin thần linh hãy quay trúng tên FB Le Oanh	1
Quá đỉnh luôn !	1
Hifu bóng da so với meso thì thế nào bs	1
Tui có lịch phẩu thuật bên đó mới gọi hoãn lại lịch, làm tui đặt vé máy bay rồi bây h bỏ	0
😍😍😍😍	1
Mong được quà của bác sĩ thảo ạ	1
Wow Bác Việt Cố Lên	1
Bác sỹ teen quá ạ	1
Giảm cân nhanh	1
Liệu trình kéo dài quá lâu mà không thấy hiệu quả, làm mất lòng tin vào dịch vụ!	0
Không hài lòng với kết quả sau khi điều trị, da không được cải thiện gì cả!	0
Giảm cân an toàn	1
Chúc Bác Sĩ khai xuân Hồng phát.	1
Lúc tư vấn thì nhiệt tình lắm. Tắm xong 1 lần mà da bị ngứa thế này, kêu giải quyết thì cứ im im, kêu hòan lại số tiền còn dư thì k trả lời. Như thế này có cho tiền thêm cũng chẳng dám tắm	1
Bên anh nhiều hot gơ vậy mà sao mấy lần em qua không thấy anh 🤣	1
tuyet vời quá dchi bạn đâu!	1
T Thảo Trâm	1
đẹp troai vãi	1
E muốn nhận qa ne bs oi.	1
Quà tặng hấp dẫn quá bs Thảo ơi	1
Điều trị gần 3 tháng vừa sài mỹ phẩm vừa uống thuốc k thấy tiến triển mặt ngày càng tệ	0
Dù đã tuân thủ đúng theo hướng dẫn nhưng không thấy hiệu quả gì từ liệu trình!	0
Mong được nhận quà từ bác sĩ🥰🥰🥰🥰	1
Bệnh viện thẩm mỹ lươn lẹo	0
"Laser đồng đã được FDA chứng nhận an toàn và hiệu quả : 
https://www.accessdata.fda.gov/cdrh_docs/pdf2/k023899.pdf"	1
Chị nhớ phòng khám bs Thảo dữ lắm luôn rồi mà chưa qua dc	1
Lừa đảo không trung thực với khách hàng	0
Không có chỗ để oto	1
Oi sao bên đây chị tăng sao dc nè	1
Mong được nhận quà từ Bác Sỹ	1
Bả đẹp gái ghê anh ui	1
Ước gì ở gần bạn tui nha	1
😘😘😘😘😘😘	1
Kĩ thuật viên làm da nặn mụn quá tệ, nặn k hết mụn ẩn mà những chỗ nặn từ mụn ẩn thành mụn viêm luôn :) làm ăn như cc dị á. Da ngta mặt tiền ngta mà cẩu thả vô trách nhiệm	0
nhân viên thì thái độ lồi lõm, lỗi sai của nhân viên nhưng bắt khách hàng chịu trách nhiệm ? đáng lẽ sẽ không có chuyện gì nếu như quản lý là người có năng lực nhưng không. chỉ lo đến túi tiền của mình mặc dù là lỗi bên họ. Nhân viên thì chán quản lý thì không có năng lực, thái độ thì còn có thể training lại chứ quản lý mà không có chuyên môn năng lực xử lý tình huống thì vứt. Tốt nhất nên đổi quản lý	0
Chúc Team Pensilia năm mới vạn sự như ý  - thành công rực rỡ!!!	1
🥰🥰🥰🥰🥰	1
spa dùng đồ kém chất lượng rẻ tiền , khách nào vô có điều trị mụn thì lưu ý	0
Em mong nhận đc quà 💕💕🥰🥰	1
Hoang Truc	1
